epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,106.13,0.5363,0.39314,2.30873,0.91335,0.80987,0.8614,0.61075,0.87142,0.61066,2.94816,0.00168455,0.00168455,0.00168455
47,347.706,0.38964,0.26361,2.06525,0.92998,0.80124,0.86625,0.6328,0.83385,0.51963,2.92578,3.1417e-05,3.1417e-05,3.1417e-05
45,331.891,0.39399,0.26469,2.07407,0.92602,0.80094,0.8652,0.63436,0.8336,0.52588,2.9282,7.02237e-05,7.02237e-05,7.02237e-05
46,339.834,0.38859,0.26214,2.06202,0.92849,0.80073,0.86679,0.63445,0.83132,0.52337,2.925,4.89437e-05,4.89437e-05,4.89437e-05
28,207.978,0.45847,0.31801,2.17765,0.91209,0.80073,0.86202,0.62094,0.84511,0.51929,2.92653,0.000874667,0.000874667,0.000874667
50,372.326,0.38955,0.26336,2.07314,0.92975,0.79839,0.86525,0.63169,0.83149,0.52102,2.92737,1.97347e-06,1.97347e-06,1.97347e-06
49,364.278,0.38768,0.26009,2.0663,0.92972,0.79812,0.86552,0.63287,0.83029,0.52124,2.92343,7.8855e-06,7.8855e-06,7.8855e-06
42,308.735,0.4013,0.27092,2.08008,0.9265,0.79707,0.87178,0.63386,0.8523,0.5249,2.96181,0.000155672,0.000155672,0.000155672
48,356.116,0.39099,0.26214,2.05359,0.92959,0.79707,0.86476,0.6335,0.82942,0.52102,2.91822,1.77129e-05,1.77129e-05,1.77129e-05
39,285.947,0.40815,0.27705,2.10105,0.92955,0.79607,0.85906,0.62335,0.84174,0.52326,2.92952,0.000271032,0.000271032,0.000271032
27,200.586,0.46383,0.31922,2.19007,0.92742,0.79428,0.86242,0.6261,0.82283,0.52249,2.83741,0.00093721,0.00093721,0.00093721
31,229.363,0.44905,0.30813,2.14626,0.91565,0.79378,0.85604,0.61467,0.85023,0.54553,2.91659,0.000690983,0.000690983,0.000690983
38,278.792,0.41365,0.28185,2.09299,0.93585,0.79342,0.86815,0.6462,0.81245,0.51716,2.87585,0.000315453,0.000315453,0.000315453
35,257.596,0.42886,0.29042,2.11916,0.93643,0.79342,0.85716,0.6307,0.82337,0.51769,2.91692,0.000464173,0.000464173,0.000464173
44,323.331,0.39608,0.26441,2.07634,0.9353,0.79282,0.86322,0.63954,0.82487,0.52159,2.91195,9.51731e-05,9.51731e-05,9.51731e-05
40,293.526,0.41247,0.27565,2.10489,0.93284,0.78714,0.86657,0.64361,0.82335,0.5382,2.90081,0.000229487,0.000229487,0.000229487
43,315.843,0.39864,0.26826,2.07923,0.94556,0.78611,0.86929,0.63287,0.83461,0.52908,2.93068,0.000123694,0.000123694,0.000123694
30,222.247,0.44401,0.30885,2.15682,0.90832,0.77882,0.85538,0.62872,0.83184,0.53148,2.87277,0.00075131,0.00075131,0.00075131
10,76.7039,0.55944,0.41311,2.35262,0.8742,0.77697,0.84362,0.60685,0.84869,0.65502,2.85877,0.00183014,0.00183014,0.00183014
41,301.016,0.40008,0.27249,2.08341,0.93074,0.77514,0.86634,0.63888,0.82344,0.51902,2.8914,0.000190983,0.000190983,0.000190983
37,271.671,0.42299,0.28778,2.1045,0.92766,0.77368,0.85049,0.63203,0.83546,0.53871,2.93499,0.000362576,0.000362576,0.000362576
23,170.593,0.48812,0.34103,2.22028,0.93163,0.77219,0.84764,0.62712,0.82595,0.5289,2.83459,0.00118738,0.00118738,0.00118738
19,142.174,0.50517,0.35939,2.23951,0.90781,0.77148,0.83657,0.60007,0.81476,0.62594,2.87851,0.00142578,0.00142578,0.00142578
32,236.423,0.43994,0.30212,2.1358,0.95041,0.7708,0.85518,0.62559,0.82493,0.54339,2.88269,0.000631876,0.000631876,0.000631876
22,163.553,0.49782,0.34801,2.22986,0.90153,0.76991,0.84718,0.61657,0.86494,0.56355,2.93013,0.00124869,0.00124869,0.00124869
36,264.718,0.42558,0.2869,2.10546,0.95119,0.76965,0.8517,0.62704,0.83467,0.51835,2.91813,0.000412215,0.000412215,0.000412215
24,178.118,0.48324,0.33454,2.20109,0.91663,0.76965,0.84463,0.62733,0.8012,0.53624,2.83243,0.00112533,0.00112533,0.00112533
29,215.042,0.45351,0.31267,2.15933,0.95679,0.76914,0.85655,0.62793,0.85226,0.53345,2.91264,0.000812619,0.000812619,0.000812619
33,243.479,0.43539,0.29856,2.13624,0.94602,0.76897,0.8434,0.61906,0.82802,0.52924,2.89836,0.000574221,0.000574221,0.000574221
9,68.9533,0.56585,0.42017,2.35511,0.93085,0.76782,0.83213,0.59548,0.85765,0.62198,2.81875,0.00167424,0.00167424,0.00167424
13,98.9101,0.55687,0.40937,2.34757,0.90901,0.76712,0.83498,0.58558,0.89421,0.65407,2.95695,0.00172897,0.00172897,0.00172897
20,149.512,0.50111,0.35715,2.23885,0.92907,0.76626,0.84993,0.61899,0.82493,0.58601,2.85998,0.00136812,0.00136812,0.00136812
25,185.63,0.48463,0.33614,2.21484,0.95227,0.76596,0.86275,0.62884,0.79533,0.50711,2.82288,0.00106279,0.00106279,0.00106279
34,250.571,0.42825,0.29121,2.1244,0.95194,0.76417,0.84465,0.6085,0.85659,0.52345,2.92635,0.000518246,0.000518246,0.000518246
21,156.446,0.49854,0.35193,2.23998,0.93721,0.76402,0.85682,0.62238,0.84902,0.58481,2.96178,0.00130902,0.00130902,0.00130902
15,113.277,0.52921,0.38253,2.29391,0.91621,0.76234,0.83329,0.61091,0.80135,0.61182,2.84581,0.00163742,0.00163742,0.00163742
17,127.738,0.51094,0.37424,2.27737,0.90554,0.76051,0.82431,0.59569,0.83943,0.61166,2.89145,0.00153583,0.00153583,0.00153583
5,39.3973,0.57692,0.4114,2.40769,0.93018,0.75868,0.85085,0.61388,0.82951,0.58696,2.76798,0.000969149,0.000969149,0.000969149
11,84.2051,0.55932,0.40669,2.37161,0.90951,0.75338,0.8203,0.58163,0.91886,0.6342,2.99913,0.00180902,0.00180902,0.00180902
7,53.9899,0.57879,0.41272,2.38575,0.89874,0.7532,0.81873,0.60543,0.82536,0.64465,2.74125,0.001336,0.001336,0.001336
1,9.40677,0.7022,0.49939,2.69025,0.92989,0.7517,0.8379,0.62936,0.77957,0.59967,2.66962,0.000184615,0.000184615,0.000184615
6,46.8466,0.57776,0.41608,2.39383,0.91612,0.74771,0.82938,0.61519,0.83379,0.71097,2.79034,0.00115563,0.00115563,0.00115563
26,193.3,0.4741,0.32533,2.18845,0.95709,0.74589,0.85294,0.60913,0.8703,0.56344,2.93647,0.001,0.001,0.001
4,31.9868,0.58523,0.41986,2.41966,0.92933,0.74523,0.83338,0.61596,0.81726,0.61275,2.76289,0.000777667,0.000777667,0.000777667
16,120.462,0.52637,0.38043,2.29167,0.93043,0.73675,0.83487,0.60861,0.86299,0.58654,2.95961,0.00158779,0.00158779,0.00158779
2,16.6142,0.62643,0.43588,2.53204,0.94123,0.73492,0.81607,0.61901,0.77839,0.65123,2.69504,0.000384236,0.000384236,0.000384236
12,91.6375,0.55476,0.4139,2.34707,0.9248,0.73492,0.81307,0.59555,0.82191,0.66168,2.7927,0.00177051,0.00177051,0.00177051
3,24.1445,0.60371,0.4259,2.46172,0.95352,0.73309,0.81566,0.6063,0.79164,0.66548,2.71943,0.00058231,0.00058231,0.00058231
18,134.927,0.51451,0.3644,2.27376,0.93768,0.73126,0.84096,0.60623,0.84542,0.58773,2.87589,0.00148175,0.00148175,0.00148175
8,61.2676,0.57128,0.40885,2.37844,0.88872,0.68622,0.74984,0.54137,0.86176,0.95824,2.91185,0.00150921,0.00150921,0.00150921